rank,name,surname,country,sport,gold,silver,bronze,medals,url
43,Abdalelah,Hassan,Qatar,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/HASSAN-Abdalelah-3002918/
43,Abderrahman,Samba,Qatar,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SAMBA-Abderrahman-3002983/
43,ANUWAT,CHAICHANA,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/CHAICHANA-Anuwat-3004256/
43,PORNCHAI,KAOKAEW,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/KAOKAEW-Pornchai-3004262/
43,PATTARAPONG,YUPADEE,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/YUPADEE-Pattarapong-3004265/
43,ASSADIN,WONGYOTA,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/WONGYOTA-Assadin-3004285/
43,RACHAN,VIPHAN,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/VIPHAN-Rachan-3004354/
43,JIRASAK,PAKBUANGOEN,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PAKBUANGOEN-Jirasak-3004371/
43,PAYOM,SRIHONGSA,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SRIHONGSA-Payom-3004401/
43,MASAYA,DUANGSRI,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/DUANGSRI-Masaya-3004403/
43,SASIWIMOL,JANTHASIT,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/JANTHASIT-Sasiwimol-3004404/
43,FUEANGFA,PRAPHATSARANG,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PRAPHATSARANG-Fueangfa-3004405/
43,SOMRUEDEE,PRUEPRUK,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PRUEPRUK-Somruedee-3004407/
43,WIPHADA,CHITPHUAN,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/CHITPHUAN-Wiphada-3004413/
43,DAIYA,SETO,Japan,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SETO-Daiya-3006648/
43,Shudi,Deng,China,Artistic Gymnastics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/DENG-Shudi-3007460/
43,CHUQIN,WANG,China,Table Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Chuqin-3007691/
43,YINGSHA,SUN,China,Table Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SUN-Yingsha-3007704/
43,ZHENDONG,FAN,China,Table Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/FAN-Zhendong-3008495/
43,GUANGYUAN,LI,China,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Guangyuan-3008820/
43,SIWEI,ZHENG,China,Badminton,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ZHENG-Siwei-3008831/
43,XIAOJING,ZHENG,China,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ZHENG-Xiaojing-3008859/
43,NUNNAPAT,PHUCHONG,Thailand,Paragliding,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PHUCHONG-Nunnapat-3009285/
43,TINGMAO,SHI,China,Diving,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SHI-Tingmao-3009709/
43,SIYI,XIE,China,Diving,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/XIE-Siyi-3010147/
43,MENGYA,SUN,China,Canoe/Kayak Sprint,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SUN-Mengya-3010564/
43,YU,ZHOU,China,Canoe/Kayak Sprint,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ZHOU-Yu-3010850/
43,Oluwakemi,Adekoya,Bahrain,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ADEKOYA-Oluwakemi-3010986/
43,Kalkidan,Befkadu,Bahrain,Athletics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/BEFKADU-Kalkidan-3010993/
43,Tingting,Liu,China,Artistic Gymnastics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LIU-Tingting-3011716/
43,BONGIL,GU,Republic of Korea,Fencing,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/GU-Bongil-3012804/
43,JUMI,LEE,Republic of Korea,Cycling Road,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LEE-Jumi-3013076/
43,JINWOONG,KIM,Republic of Korea,Soft Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Jinwoong-3014880/
43,YUKA,SASO,Philippines,Golf,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SASO-Yuka-3016838/
43,Alina,Adilkhanova,Kazakhstan,Rhythmic Gymnastics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ADILKHANOVA-Alina-3021296/
43,Susanti Rahayu,Aries,Indonesia,Sport Climbing,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ARIES-Susanti-Rahayu-3022179/
43,KEITA,NAKAJIMA,Japan,Golf,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/NAKAJIMA-Keita-3025436/
43,Saki,NIIZOE,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/NIIZOE-Saki-3025848/
43,Shohei,ONO,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ONO-Shohei-3025854/
43,Akira,SONE,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SONE-Akira-3025861/
43,Momo,TAMAOKI,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/TAMAOKI-Momo-3025864/
43,WAI SZE,LEE,"Hong Kong, China",Cycling Track,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LEE-Wai-Sze-3025940/
43,JURAN,MIZOHATA,Japan,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/MIZOHATA-Juran-3026152/
43,YOSHIAKI,OIWA,Japan,Equestrian,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/OIWA-Yoshiaki-3026430/
43,Jumpei,Furuya,Japan,Triathlon,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/FURUYA-Jumpei-3027104/
43,Yuko,Takahashi,Japan,Triathlon,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/TAKAHASHI-Yuko-3027130/
43,NOA,TAKAHASHI,Japan,Soft Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/TAKAHASHI-Noa-3027240/
43,ALEXEY,LUTSENKO,Kazakhstan,Cycling Road,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LUTSENKO-Alexey-3029450/
91,KATSUMI,NAKAMURA,Japan,Swimming,1,3,0,4,https://en.asiangames2018.id/athletes/athlete/NAKAMURA-Katsumi-3026159/
92,KOSUKE,HAGINO,Japan,Swimming,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/HAGINO-Kosuke-3006627/
92,REONA,AOKI,Japan,Swimming,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/AOKI-Reona-3006686/
92,YUKI,KOBORI,Japan,Swimming,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/KOBORI-Yuki-3026143/
92,Su Jong,Kim,DPR Korea,Artistic Gymnastics,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/KIM-Su-Jong-3027593/
96,YUI,OHASHI,Japan,Swimming,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/OHASHI-Yui-3006668/
96,Hima,Das,India,Athletics,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/DAS-Hima-3007316/
96,GAOYUAN,LIN,China,Table Tennis,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/LIN-Gaoyuan-3008579/
96,MENGHUI,ZHU,China,Swimming,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/ZHU-Menghui-3009860/
96,YUJIE,HOU,China,Swimming,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/HOU-Yujie-3013276/
96,CHUN WING,LEUNG,"Hong Kong, China",Cycling Track,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/LEUNG-Chun-Wing-3025937/
96,Huan,Luo,China,Artistic Gymnastics,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/LUO-Huan-9954004/
103,Ruoteng,Xiao,China,Artistic Gymnastics,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/XIAO-Ruoteng-3007701/
103,NOFRIZAL,NOFRIZAL,Indonesia,Sepaktakraw,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/NOFRIZAL-Nofrizal-3020301/
103,MUHAMMAD HARDIANSYAH,MULIANG,Indonesia,Sepaktakraw,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/MULIANG-Muhammad-Hardiansyah-3020303/
103,ABDUL HALIM,RADJIU,Indonesia,Sepaktakraw,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/RADJIU-Abdul-Halim-3020305/
103,CHIHIRO,IGARASHI,Japan,Swimming,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/IGARASHI-Chihiro-3026135/
108,MOHD AZIZULHASNI,AWANG,Malaysia,Cycling Track,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/AWANG-Mohd-Azizulhasni-3004672/
108,Wei,Sun,China,Artistic Gymnastics,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/SUN-Wei-3007675/
108,ZHUHAO,LI,China,Swimming,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/LI-Zhuhao-3008823/
108,SHUN,WANG,China,Swimming,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/WANG-Shun-3008854/
108,CHULING,CHENG,Chinese Taipei,Soft Tennis,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/CHENG-Chuling-3009199/
108,DA GYEOM,LEE,Republic of Korea,Paragliding,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/LEE-Da-Gyeom-3016036/
108,Hansol,Kim,Republic of Korea,Artistic Gymnastics,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/KIM-Hansol-3017142/
115,Jinson,Johnson,India,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/JOHNSON-Jinson-3000729/
115,AYAKA,TAKAHASHI,Japan,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TAKAHASHI-Ayaka-3003609/
115,MISAKI,MATSUTOMO,Japan,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MATSUTOMO-Misaki-3003611/
115,MEI LAN,CHEAH,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEAH-Mei-Lan-3005018/
115,MUHAMMAD RAFIQ,ISMAIL,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ISMAIL-Muhammad-Rafiq-3005025/
115,SITI SAFIYAH AMIRAH,ABDUL RAHMAN,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Siti-Safiyah-Amirah-3005125/
115,SYAIDATUL AFIFAH,BADRUL HAMIDI,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/BADRUL-HAMIDI-Syaidatul-Afifah-3005126/
115,Chia-Hung,Tang,Chinese Taipei,Artistic Gymnastics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TANG-Chia-Hung-3007283/
115,Poovamma Raju,Machettira,India,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MACHETTIRA-Poovamma-Raju-3007315/
115,Daria,Maslova,Kyrgyzstan,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MASLOVA-Daria-3007343/
115,MENG,CHEN,China,Table Tennis,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Meng-3008481/
115,QINGCHEN,CHEN,China,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Qingchen-3008847/
115,YIFAN,JIA,China,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/JIA-Yifan-3008849/
115,YAQIONG,HUANG,China,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HUANG-Yaqiong-3008855/
115,YUE,WU,China,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WU-Yue-3009456/
115,YUAN,CAO,China,Diving,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CAO-Yuan-3009722/
115,MOHAMMAD SYAHIR,MOHD ROSDI,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MOHD-ROSDI-Mohammad-Syahir-3009872/
115,MUHAMMAD ZULKIFLI,ABD RAZAK,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhammad-Zulkifli-3009873/
115,MUHAMAD NORHAFFIZI,ABD RAZAK,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhamad-Norhaffizi-3009903/
115,FARHAN,ADAM,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ADAM-Farhan-3009916/
115,MOHAMAD AZLAN,ALIAS,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ALIAS-Mohamad-Azlan-3009927/
115,HAN,WANG,China,Diving,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Han-3010142/
115,JIAQI,ZHANG,China,Diving,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHANG-Jiaqi-3010660/
115,YIWEN,SUN,China,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SUN-Yiwen-3010950/
115,Iman,Essa,Bahrain,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ESSA-Iman-3010982/
115,JIARUI,QIAN,China,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/QIAN-Jiarui-3011055/
115,JONG WOO,PARK,Republic of Korea,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PARK-Jong-Woo-3011357/
115,YEONJI,LEE,Republic of Korea,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LEE-Yeonji-3011361/
115,WOOJIN,KIM,Republic of Korea,Archery,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Woojin-3011441/
115,JONGHO,KIM,Republic of Korea,Archery,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Jongho-3011468/
115,CHAEWON,SO,Republic of Korea,Archery,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SO-Chaewon-3011479/
115,KUNPI,YANG,Chinese Taipei,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YANG-Kunpi-3012486/
115,WENWEI,LING,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LING-Wenwei-3012698/
115,SANGUK,OH,Republic of Korea,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/OH-Sanguk-3012807/
115,YOUNGMI,KANG,Republic of Korea,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KANG-Youngmi-3012914/
115,SANGHOON,PARK,Republic of Korea,Cycling Track,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PARK-Sanghoon-3013016/
115,XIANG,LIU,China,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LIU-Xiang-3013351/
115,JUNYI,HE,China,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HE-Junyi-3013903/
115,KISUNG,KIM,Republic of Korea,Soft Tennis,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Kisung-3014874/
115,GWANGHEE,CHO,Republic of Korea,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHO-Gwanghee-3015446/
115,RUOZHU,ZHAO,China,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHAO-Ruozhu-3015479/
115,HAORAN,YANG,China,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YANG-Haoran-3015584/
115,GUICHAO,ZHOU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHOU-Guichao-3016187/
115,GUISEN,LI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Guisen-3016188/
115,GUOJING,FENG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/FENG-Guojing-3016189/
115,JUNTONG,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Juntong-3016190/
115,SHUAI,LI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Shuai-3016191/
115,BOPIN,SU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SU-Bopin-3016192/
115,GUANGQIN,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Guangqin-3016193/
115,DELIN,ZENG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZENG-Delin-3016194/
115,ZHEN,ZHANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHANG-Zhen-3016195/
115,ZHONGHAI,YIN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YIN-Zhonghai-3016196/
115,ZHUAN,DU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/du-Zhuan-3016197/
115,XUEGANG,LIU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LIU-Xuegang-3016198/
115,WENXUAN,CAI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CAI-Wenxuan-3016200/
115,JIAWEN,GAO,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/GAO-Jiawen-3016201/
115,FANGXU,JIAO,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/JIAO-Fangxu-3016204/
115,LIANYING,LI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Lianying-3016206/
115,HUIZHU,PAN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PAN-Huizhu-3016208/
115,GE,BAI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/BAI-Ge-3016209/
115,CHEN,HU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HU-Chen-3016210/
115,YI,HUANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HUANG-Yi-3016211/
115,LIPING,LIANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LIANG-Liping-3016213/
115,YANBING,SONG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SONG-Yanbing-3016214/
115,SHENGLAN,TANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TANG-Shenglan-3016216/
115,XUE,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Xue-3016218/
115,YUAN,ZHONG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHONG-Yuan-3016219/
115,FENGXUE,XU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/XU-Fengxue-3016221/
115,LI,WANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Li-3016223/
115,JING,WANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Jing-3016224/
115,CHEN,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Chen-3016227/
115,AILI,DONG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/DONG-Aili-3016228/
115,XIAOJUAN,PENG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PENG-Xiaojuan-3016233/
115,SEOYEONG,KIM,Republic of Korea,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Seoyeong-3016726/
115,JONATAN,CHRISTIE,Indonesia,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHRISTIE-Jonatan-3017902/
115,KEVIN SANJAYA,SUKAMULJO,Indonesia,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SUKAMULJO-Kevin-Sanjaya-3017905/
115,MARCUS FERNALDI,GIDEON,Indonesia,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/GIDEON-Marcus-Fernaldi-3017906/
115,IHRAM,IHRAM,Indonesia,Rowing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/IHRAM-Ihram-3019613/
