rank,name,surname,country,sport,gold,silver,bronze,medals,url
27,JIRASAK,PAKBUANGOEN,Thailand,Sepaktakraw,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/PAKBUANGOEN-Jirasak-3004371/
27,DAIYA,SETO,Japan,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/SETO-Daiya-3006648/
27,Shudi,Deng,China,Artistic Gymnastics,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/DENG-Shudi-3007460/
27,CHUQIN,WANG,China,Table Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Chuqin-3007691/
27,ZHENDONG,FAN,China,Table Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/FAN-Zhendong-3008495/
27,GUANGYUAN,LI,China,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Guangyuan-3008820/
27,SIWEI,ZHENG,China,Badminton,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ZHENG-Siwei-3008831/
27,XIAOJING,ZHENG,China,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ZHENG-Xiaojing-3008859/
27,SIYI,XIE,China,Diving,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/XIE-Siyi-3010147/
27,BONGIL,GU,Republic of Korea,Fencing,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/GU-Bongil-3012804/
27,JINWOONG,KIM,Republic of Korea,Soft Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Jinwoong-3014880/
27,KEITA,NAKAJIMA,Japan,Golf,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/NAKAJIMA-Keita-3025436/
27,Shohei,ONO,Japan,Judo,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/ONO-Shohei-3025854/
27,JURAN,MIZOHATA,Japan,Swimming,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/MIZOHATA-Juran-3026152/
27,YOSHIAKI,OIWA,Japan,Equestrian,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/OIWA-Yoshiaki-3026430/
27,Jumpei,Furuya,Japan,Triathlon,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/FURUYA-Jumpei-3027104/
27,ALEXEY,LUTSENKO,Kazakhstan,Cycling Road,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/LUTSENKO-Alexey-3029450/
51,KATSUMI,NAKAMURA,Japan,Swimming,1,3,0,4,https://en.asiangames2018.id/athletes/athlete/NAKAMURA-Katsumi-3026159/
52,KOSUKE,HAGINO,Japan,Swimming,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/HAGINO-Kosuke-3006627/
52,YUKI,KOBORI,Japan,Swimming,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/KOBORI-Yuki-3026143/
54,GAOYUAN,LIN,China,Table Tennis,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/LIN-Gaoyuan-3008579/
54,YUJIE,HOU,China,Swimming,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/HOU-Yujie-3013276/
54,CHUN WING,LEUNG,"Hong Kong, China",Cycling Track,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/LEUNG-Chun-Wing-3025937/
57,Ruoteng,Xiao,China,Artistic Gymnastics,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/XIAO-Ruoteng-3007701/
57,NOFRIZAL,NOFRIZAL,Indonesia,Sepaktakraw,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/NOFRIZAL-Nofrizal-3020301/
57,MUHAMMAD HARDIANSYAH,MULIANG,Indonesia,Sepaktakraw,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/MULIANG-Muhammad-Hardiansyah-3020303/
57,ABDUL HALIM,RADJIU,Indonesia,Sepaktakraw,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/RADJIU-Abdul-Halim-3020305/
61,MOHD AZIZULHASNI,AWANG,Malaysia,Cycling Track,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/AWANG-Mohd-Azizulhasni-3004672/
61,Wei,Sun,China,Artistic Gymnastics,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/SUN-Wei-3007675/
61,ZHUHAO,LI,China,Swimming,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/LI-Zhuhao-3008823/
61,SHUN,WANG,China,Swimming,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/WANG-Shun-3008854/
61,Hansol,Kim,Republic of Korea,Artistic Gymnastics,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/KIM-Hansol-3017142/
66,Jinson,Johnson,India,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/JOHNSON-Jinson-3000729/
66,MUHAMMAD RAFIQ,ISMAIL,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ISMAIL-Muhammad-Rafiq-3005025/
66,Chia-Hung,Tang,Chinese Taipei,Artistic Gymnastics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TANG-Chia-Hung-3007283/
66,YUAN,CAO,China,Diving,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CAO-Yuan-3009722/
66,MOHAMMAD SYAHIR,MOHD ROSDI,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MOHD-ROSDI-Mohammad-Syahir-3009872/
66,MUHAMMAD ZULKIFLI,ABD RAZAK,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhammad-Zulkifli-3009873/
66,MUHAMAD NORHAFFIZI,ABD RAZAK,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ABD-RAZAK-Muhamad-Norhaffizi-3009903/
66,FARHAN,ADAM,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ADAM-Farhan-3009916/
66,MOHAMAD AZLAN,ALIAS,Malaysia,Sepaktakraw,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ALIAS-Mohamad-Azlan-3009927/
66,JONG WOO,PARK,Republic of Korea,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PARK-Jong-Woo-3011357/
66,WOOJIN,KIM,Republic of Korea,Archery,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Woojin-3011441/
66,JONGHO,KIM,Republic of Korea,Archery,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Jongho-3011468/
66,KUNPI,YANG,Chinese Taipei,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YANG-Kunpi-3012486/
66,WENWEI,LING,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LING-Wenwei-3012698/
66,SANGUK,OH,Republic of Korea,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/OH-Sanguk-3012807/
66,SANGHOON,PARK,Republic of Korea,Cycling Track,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PARK-Sanghoon-3013016/
66,JUNYI,HE,China,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HE-Junyi-3013903/
66,KISUNG,KIM,Republic of Korea,Soft Tennis,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Kisung-3014874/
66,GWANGHEE,CHO,Republic of Korea,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHO-Gwanghee-3015446/
66,HAORAN,YANG,China,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YANG-Haoran-3015584/
66,GUICHAO,ZHOU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHOU-Guichao-3016187/
66,GUISEN,LI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Guisen-3016188/
66,GUOJING,FENG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/FENG-Guojing-3016189/
66,JUNTONG,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Juntong-3016190/
66,SHUAI,LI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Shuai-3016191/
66,BOPIN,SU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SU-Bopin-3016192/
66,GUANGQIN,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Guangqin-3016193/
66,DELIN,ZENG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZENG-Delin-3016194/
66,ZHEN,ZHANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHANG-Zhen-3016195/
66,ZHONGHAI,YIN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YIN-Zhonghai-3016196/
66,ZHUAN,DU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/du-Zhuan-3016197/
66,XUEGANG,LIU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LIU-Xuegang-3016198/
66,WENXUAN,CAI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CAI-Wenxuan-3016200/
66,JIAWEN,GAO,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/GAO-Jiawen-3016201/
66,FANGXU,JIAO,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/JIAO-Fangxu-3016204/
66,JONATAN,CHRISTIE,Indonesia,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHRISTIE-Jonatan-3017902/
66,KEVIN SANJAYA,SUKAMULJO,Indonesia,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SUKAMULJO-Kevin-Sanjaya-3017905/
66,MARCUS FERNALDI,GIDEON,Indonesia,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/GIDEON-Marcus-Fernaldi-3017906/
66,IHRAM,IHRAM,Indonesia,Rowing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/IHRAM-Ihram-3019613/
66,ARDI,ISADI,Indonesia,Rowing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ISADI-Ardi-3019614/
66,FERDIANSYAH,FERDIANSYAH,Indonesia,Rowing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/FERDIANSYAH-Ferdiansyah-3019615/
66,ALI,BUTON,Indonesia,Rowing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/BUTON-Ali-3019616/
66,ILYA,GOLENDOV,Kazakhstan,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/GOLENDOV-Ilya-3021637/
66,SERGII,TOKARNYTSKYI,Kazakhstan,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TOKARNYTSKYI-Sergii-3021639/
66,ALI,ALLANJAWI,United Arab Emirates,JetSki,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ALLANJAWI-Ali-3022754/
66,CHUN MING,AU,"Hong Kong, China",Squash,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/AU-Chun-Ming-3025258/
66,KING LOK,CHEUNG,"Hong Kong, China",Cycling Road,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEUNG-King-Lok-3025934/
66,NAITO,EHARA,Japan,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/EHARA-Naito-3026052/
66,MYONG WON,PAK,DPR Korea,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PAK-Myong-Won-3027607/
66,Didar,KHAMZA,Kazakhstan,Judo,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KHAMZA-Didar-3029358/
116,EIYA,HASHIMOTO,Japan,Cycling Track,1,0,2,3,https://en.asiangames2018.id/athletes/athlete/HASHIMOTO-Eiya-3006470/
116,HAIYANG,QIN,China,Swimming,1,0,2,3,https://en.asiangames2018.id/athletes/athlete/QIN-Haiyang-3008773/
116,HUSNI,UBA,Indonesia,Sepaktakraw,1,0,2,3,https://en.asiangames2018.id/athletes/athlete/UBA-Husni-3020297/
116,RIZKY ABDUL RAHAN,PAGO,Indonesia,Sepaktakraw,1,0,2,3,https://en.asiangames2018.id/athletes/athlete/PAGO-Rizky-Abdul-Rahan-3020299/
116,SAIFUL,RIJAL,Indonesia,Sepaktakraw,1,0,2,3,https://en.asiangames2018.id/athletes/athlete/RIJAL-Saiful-3020307/
121,KOKI,KANO,Japan,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KANO-Koki-3006937/
121,MOHD NAFIIZWAN,MOHD ADNAN,Malaysia,Squash,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/MOHD-ADNAN-Mohd-Nafiizwan-3007683/
121,MENGKAI,HUANG,China,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/HUANG-Mengkai-3008107/
121,RAMZY HAMAD,ALDUHAMI,Kingdom of Saudi Arabia,Equestrian,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/ALDUHAMI-Ramzy-Hamad-3008123/
121,JUNHUI,LI,China,Badminton,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/LI-Junhui-3008819/
121,YUCHEN,LIU,China,Badminton,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/LIU-Yuchen-3008821/
121,YILYU,WANG,China,Badminton,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/WANG-Yilyu-3008825/
121,KAIWEN,YU,Chinese Taipei,Soft Tennis,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/YU-Kaiwen-3009147/
121,Bingtian,Su,China,Athletics,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/SU-Bingtian-3009608/
121,Ali,Khamis,Bahrain,Athletics,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KHAMIS-Ali-3010778/
121,SEONGHOI,KOO,Republic of Korea,Bowling,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KOO-Seonghoi-3011356/
121,SHAOCHUAN,LU,Chinese Taipei,Shooting,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/LU-Shaochuan-3012445/
121,YOUNG KI,SON,Republic of Korea,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/SON-Young-Ki-3012758/
121,Sungmin,KIM,Republic of Korea,Judo,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KIM-Sungmin-3013156/
121,Donghan,GWAK,Republic of Korea,Judo,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/GWAK-Donghan-3014429/
121,DONGHOON,KIM,Republic of Korea,Soft Tennis,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KIM-Donghoon-3014871/
121,BEOMJUN,KIM,Republic of Korea,Soft Tennis,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KIM-Beomjun-3014878/
121,HENING,PARADIGMA,Indonesia,Paragliding,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/PARADIGMA-Hening-3017795/
121,JONI,EFENDI,Indonesia,Paragliding,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/EFENDI-Joni-3017797/
121,RONI,PRATAMA,Indonesia,Paragliding,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/PRATAMA-Roni-3017799/
121,ARIS,APRIANSYAH,Indonesia,Paragliding,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/APRIANSYAH-Aris-3017800/
121,OU MOEUT,SALY,Cambodia,JetSki,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/SALY-Ou-Moeut-3018435/
121,AQSA,AQSA SUTAN ASWAR,Indonesia,JetSki,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/AQSA-SUTAN-ASWAR-Aqsa-3019036/
121,Mashu,BAKER,Japan,Judo,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/BAKER-Mashu-3025828/
121,Yuki,Koike,Japan,Athletics,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KOIKE-Yuki-3026582/
121,Ryota,Yamagata,Japan,Athletics,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/YAMAGATA-Ryota-3026720/
121,DMITRIY,ALEXANIN,Kazakhstan,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/ALEXANIN-Dmitriy-3028754/
121,JAE CHAN,HYUN,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/HYUN-Jae-Chan-3030247/
149,SAFAA RASHID MOHMOOD,ALJUMAILI,Iraq,Weightlifting,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ALJUMAILI-Safaa-Rashid-Mohmood-3000012/
149,HASSAN,YAZDANICHARATI,IR Iran,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/YAZDANICHARATI-Hassan-3000169/
149,ALIREZA,KARIMIMACHIANI,IR Iran,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KARIMIMACHIANI-Alireza-3000173/
149,PARVIZ,HADIBASMANJ,IR Iran,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/HADIBASMANJ-Parviz-3000182/
149,HOSSEIN,NOURI,IR Iran,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/NOURI-Hossein-3000244/
149,MOHAMMADALI,GERAEI,IR Iran,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/GERAEI-Mohammadali-3000253/
149,Haidar,Al Rasheed,Jordan,Ju-Jitsu,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/AL-RASHEED-Haidar-3000267/
149,BAHMAN,ASGARI GHONCHEH,IR Iran,Karate,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ASGARI-GHONCHEH-Bahman-3000376/
149,SAJAD,GANJZADEH,IR Iran,Karate,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/GANJZADEH-Sajad-3000386/
149,,Arpinder Singh,India,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ARPINDER-SINGH-3000712/
149,Neeraj,Chopra,India,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/CHOPRA-Neeraj-3000754/
149,RUSLAN,NURUDINOV,Uzbekistan,Weightlifting,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/NURUDINOV-Ruslan-3000794/
149,Tajinderpal Singh,Toor,India,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/TOOR-Tajinderpal-Singh-3000812/
149,KAMOLIDDIN,KHOLMAMATOV,Uzbekistan,Sambo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KHOLMAMATOV-Kamoliddin-3000848/
149,,AMIT,India,Boxing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/AMIT-3000854/
149,BEKZOD,ABDURAKHMONOV,Uzbekistan,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ABDURAKHMONOV-Bekzod-3000921/
149,MOHSEN,MOHAMMADSEIFI,IR Iran,Wushu,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MOHAMMADSEIFI-Mohsen-3000972/
149,MUMINJON,ABDULLAEV,Uzbekistan,Wrestling,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ABDULLAEV-Muminjon-3001008/
149,ERFAN,AHANGARIAN,IR Iran,Wushu,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/AHANGARIAN-Erfan-3001085/
149,DENIS,ISTOMIN,Uzbekistan,Tennis,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ISTOMIN-Denis-3001262/
149,SHAKHBOZ,KHOLMURZAEV,Uzbekistan,Rowing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KHOLMURZAEV-Shakhboz-3001332/
149,Reza,Ali Pour Shenazandi Fard,IR Iran,Sport Climbing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ALIPOUR-Reza-3001641/
149,NIKITA,RAFALOVICH,Uzbekistan,Taekwondo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/RAFALOVICH-Nikita-3002243/
149,Ahmed Tijan,Janko,Qatar,Beach Volleyball,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/JANKO-Ahmed-Tijan-3002544/
149,Cherif Younousse,Samba,Qatar,Beach Volleyball,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SAMBA-Cherif-Younousse-3002551/
149,JUNHUA,HUANG,"Macau, China",Wushu,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/HUANG-Junhua-3002558/
149,MUKHSIN,KHISOMIDDINOV,Uzbekistan,Kurash,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KHISOMIDDINOV-Mukhsin-3002608/
149,SHERMUKHAMMAD,JANDREEV,Uzbekistan,Kurash,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/JANDREEV-Shermukhammad-3002615/
149,MARUF,GAYBULLOEV,Uzbekistan,Kurash,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/GAYBULLOEV-Maruf-3002616/
149,Ashraf,Elseify,Qatar,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ELSEIFY-Ashraf-3002906/
149,Mohamed,Mohamed,Qatar,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MOHAMED-Mohamed-3002945/
149,MIRAZIZBEK,MIRZAKHALILOV,Uzbekistan,Boxing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MIRZAKHALILOV-Mirazizbek-3002948/
149,Mohamed,Abbas,Qatar,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ABBAS-Mohamed-3002953/
149,BOBO USMON,BATUROV,Uzbekistan,Boxing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/BATUROV-Bobo-Usmon-3002963/
149,Frankis,Marzo,Qatar,Handball,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MARZO-Frankis-3003019/
149,Firas,Chaieb,Qatar,Handball,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/CHAIEB-Firas-3003020/
149,Allaedine,Berrached,Qatar,Handball,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/BERRACHED-Allaedine-3003021/
149,Abdulrazzaq,Murad,Qatar,Handball,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MURAD-Abdulrazzaq-3003029/
