rank,name,surname,country,sport,gold,silver,bronze,medals,url
17,Yuko,Takahashi,Japan,Triathlon,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/TAKAHASHI-Yuko-3027130/
17,NOA,TAKAHASHI,Japan,Soft Tennis,2,0,0,2,https://en.asiangames2018.id/athletes/athlete/TAKAHASHI-Noa-3027240/
41,REONA,AOKI,Japan,Swimming,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/AOKI-Reona-3006686/
41,Su Jong,Kim,DPR Korea,Artistic Gymnastics,1,2,1,4,https://en.asiangames2018.id/athletes/athlete/KIM-Su-Jong-3027593/
43,YUI,OHASHI,Japan,Swimming,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/OHASHI-Yui-3006668/
43,Hima,Das,India,Athletics,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/DAS-Hima-3007316/
43,MENGHUI,ZHU,China,Swimming,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/ZHU-Menghui-3009860/
43,Huan,Luo,China,Artistic Gymnastics,1,2,0,3,https://en.asiangames2018.id/athletes/athlete/LUO-Huan-9954004/
47,CHIHIRO,IGARASHI,Japan,Swimming,1,1,2,4,https://en.asiangames2018.id/athletes/athlete/IGARASHI-Chihiro-3026135/
48,CHULING,CHENG,Chinese Taipei,Soft Tennis,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/CHENG-Chuling-3009199/
48,DA GYEOM,LEE,Republic of Korea,Paragliding,1,1,1,3,https://en.asiangames2018.id/athletes/athlete/LEE-Da-Gyeom-3016036/
50,AYAKA,TAKAHASHI,Japan,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TAKAHASHI-Ayaka-3003609/
50,MISAKI,MATSUTOMO,Japan,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MATSUTOMO-Misaki-3003611/
50,MEI LAN,CHEAH,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEAH-Mei-Lan-3005018/
50,SITI SAFIYAH AMIRAH,ABDUL RAHMAN,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ABDUL-RAHMAN-Siti-Safiyah-Amirah-3005125/
50,SYAIDATUL AFIFAH,BADRUL HAMIDI,Malaysia,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/BADRUL-HAMIDI-Syaidatul-Afifah-3005126/
50,Poovamma Raju,Machettira,India,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MACHETTIRA-Poovamma-Raju-3007315/
50,Daria,Maslova,Kyrgyzstan,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/MASLOVA-Daria-3007343/
50,MENG,CHEN,China,Table Tennis,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Meng-3008481/
50,QINGCHEN,CHEN,China,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Qingchen-3008847/
50,YIFAN,JIA,China,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/JIA-Yifan-3008849/
50,YAQIONG,HUANG,China,Badminton,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HUANG-Yaqiong-3008855/
50,YUE,WU,China,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WU-Yue-3009456/
50,HAN,WANG,China,Diving,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Han-3010142/
50,JIAQI,ZHANG,China,Diving,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHANG-Jiaqi-3010660/
50,YIWEN,SUN,China,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SUN-Yiwen-3010950/
50,Iman,Essa,Bahrain,Athletics,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ESSA-Iman-3010982/
50,JIARUI,QIAN,China,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/QIAN-Jiarui-3011055/
50,YEONJI,LEE,Republic of Korea,Bowling,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LEE-Yeonji-3011361/
50,CHAEWON,SO,Republic of Korea,Archery,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SO-Chaewon-3011479/
50,YOUNGMI,KANG,Republic of Korea,Fencing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KANG-Youngmi-3012914/
50,XIANG,LIU,China,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LIU-Xiang-3013351/
50,RUOZHU,ZHAO,China,Shooting,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHAO-Ruozhu-3015479/
50,LIANYING,LI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LI-Lianying-3016206/
50,HUIZHU,PAN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PAN-Huizhu-3016208/
50,GE,BAI,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/BAI-Ge-3016209/
50,CHEN,HU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HU-Chen-3016210/
50,YI,HUANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/HUANG-Yi-3016211/
50,LIPING,LIANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/LIANG-Liping-3016213/
50,YANBING,SONG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SONG-Yanbing-3016214/
50,SHENGLAN,TANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/TANG-Shenglan-3016216/
50,XUE,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Xue-3016218/
50,YUAN,ZHONG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/ZHONG-Yuan-3016219/
50,FENGXUE,XU,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/XU-Fengxue-3016221/
50,LI,WANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Li-3016223/
50,JING,WANG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/WANG-Jing-3016224/
50,CHEN,CHEN,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Chen-3016227/
50,AILI,DONG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/DONG-Aili-3016228/
50,XIAOJUAN,PENG,China,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PENG-Xiaojuan-3016233/
50,SEOYEONG,KIM,Republic of Korea,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KIM-Seoyeong-3016726/
50,INNA,KLINOVA,Kazakhstan,Canoe/Kayak Sprint,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KLINOVA-Inna-3021668/
50,Lestari,Puji,Indonesia,Sport Climbing,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/PUJI-Lestari-3022178/
50,ANNA,KONISHI,Japan,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/KONISHI-Anna-3026147/
50,RIO,SHIRAI,Japan,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/SHIRAI-Rio-3026174/
50,MAYUKA,YAMAMOTO,Japan,Swimming,1,1,0,2,https://en.asiangames2018.id/athletes/athlete/YAMAMOTO-Mayuka-3026189/
94,AKANE,YAMAGUCHI,Japan,Badminton,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/YAMAGUCHI-Akane-3003586/
94,YUKI,FUKUSHIMA,Japan,Badminton,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/FUKUSHIMA-Yuki-3003604/
94,SAYAKA,HIROTA,Japan,Badminton,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/HIROTA-Sayaka-3003607/
94,SAKIKO,SHIMIZU,Japan,Swimming,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/SHIMIZU-Sakiko-3006698/
94,RAY,BASSIL,Lebanon,Shooting,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/BASSIL-Ray-3006731/
94,YIHSUAN,CHEN,Chinese Taipei,Archery,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/CHEN-Yihsuan-3006986/
94,SERA,AZUMA,Japan,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/AZUMA-Sera-3007012/
94,Jin,Zhang,China,Artistic Gymnastics,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/ZHANG-Jin-3008936/
94,TOMOMI,SUGIMOTO,Japan,Archery,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/SUGIMOTO-Tomomi-3009032/
94,JINGLIN,SHI,China,Swimming,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/SHI-Jinglin-3009425/
94,NICOL ANN,DAVID,Malaysia,Squash,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/DAVID-Nicol-Ann-3009659/
94,TIANSHI,ZHONG,China,Cycling Track,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/ZHONG-Tianshi-3010305/
94,NAYOUNG,LEE,Republic of Korea,Bowling,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/LEE-Nayoung-3011362/
94,CHAEYOUNG,KANG,Republic of Korea,Archery,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KANG-Chaeyoung-3011464/
94,HEE SOOK,JEON,Republic of Korea,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/JEON-Hee-Sook-3012823/
94,JIYEON,KIM,Republic of Korea,Fencing,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KIM-Jiyeon-3012915/
94,JINHEE,BAEK,Republic of Korea,Paragliding,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/BAEK-Jinhee-3016029/
94,WOO YOUNG,JANG,Republic of Korea,Paragliding,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/JANG-Woo-Young-3016055/
94,XINYAN,ZHANG,China,Archery,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/ZHANG-Xinyan-3016079/
94,BIANCA,PAGDANGANAN,Philippines,Golf,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/PAGDANGANAN-Bianca-3016844/
94,YUMI,KAJIHARA,Japan,Cycling Track,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KAJIHARA-Yumi-3024212/
94,RIKO,HAYASHIDA,Japan,Soft Tennis,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/HAYASHIDA-Riko-3027201/
94,YE SONG,JONG,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/JONG-Ye-Song-3027642/
94,SU HYANG,KIM,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KIM-Su-Hyang-3027646/
94,NANDINZAYA,GANKHUYAG,Mongolia,Shooting,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/GANKHUYAG-Nandinzaya-3028005/
94,HYEON HEE,KIM,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KIM-Hyeon-Hee-3030250/
94,MIN JI,JO,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/JO-Min-Ji-3030251/
94,EUN JEONG,BYUN,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/BYUN-Eun-Jeong-3030252/
94,HYUN JUNG,JANG,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/JANG-Hyun-Jung-3030253/
94,YU SEUL,CHOI,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/CHOI-Yu-Seul-3030254/
94,YE LIN,LEE,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/LEE-Ye-Lin-3030255/
94,CHO HEE,KANG,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/KANG-Cho-Hee-3030256/
94,UN YONG,CHA,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/CHA-Un-Yong-3030435/
94,SU JONG,HO,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/HO-Su-Jong-3030437/
94,UN GYONG,CHA,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/CHA-Un-Gyong-3030438/
94,UN JONG,YUN,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/YUN-Un-Jong-3030439/
94,HYANG,RI,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/RI-Hyang-3030440/
94,MYONG SUK,TO,Korea,Canoe/Kayak Sprint,1,0,1,2,https://en.asiangames2018.id/athletes/athlete/TO-Myong-Suk-3030446/
132,JULYANA,AL SADEQ,Jordan,Taekwondo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/AL-SADEQ-Julyana-3000404/
132,Saori,Ariyoshi,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ARIYOSHI-Saori-3000413/
132,Yui,Hasegawa,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/HASEGAWA-Yui-3000415/
132,Sakiko,Ikeda,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/IKEDA-Sakiko-3000425/
132,Risa,Shimizu,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SHIMIZU-Risa-3000438/
132,Yuika,Sugasawa,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SUGASAWA-Yuika-3000440/
132,Rin,Sumida,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SUMIDA-Rin-3000441/
132,Mina,Tanaka,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/TANAKA-Mina-3000443/
132,Ayaka,Yamashita,Japan,Football,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/YAMASHITA-Ayaka-3000444/
132,Saritaben Laxmanbhai,Gayakwad,India,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/GAYAKWAD-Saritaben-Laxmanbhai-3000772/
132,Swapna,Barman,India,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/BARMAN-Swapna-3000811/
132,Tomomi,Kozasa,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KOZASA-Tomomi-3001205/
132,Yume,Okuroda,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/OKURODA-Yume-3001206/
132,Noriko,Taniguchi,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/TANIGUCHI-Noriko-3001207/
132,Raichierumiyo,Bativakalolo,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/BATIVAKALOLO-Raichierumiyo-3001209/
132,Yukari,Tateyama,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/TATEYAMA-Yukari-3001211/
132,Fumikoedeiburijietto,Otake,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/OTAKE-Fumikoedeiburijietto-3001213/
132,Iroha,Nagata,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/NAGATA-Iroha-3001216/
132,Emii,Tanaka,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/TANAKA-Emii-3001218/
132,Riho,Kurogi,Japan,Rugby Sevens,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KUROGI-Riho-3001224/
132,AKANE,KUROKI,Japan,Equestrian,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/KUROKI-Akane-3001410/
132,Min Kimberly,Lim,Singapore,Sailing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/LIM-Min-Kimberly-3002321/
132,Rui Qi Cecilia,Low,Singapore,Sailing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/LOW-Rui-Qi-Cecilia-3002322/
132,KUMUSH,YULDASHOVA,Uzbekistan,Kurash,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/YULDASHOVA-Kumush-3002609/
132,GULNOR,SULAYMANOVA,Uzbekistan,Kurash,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SULAYMANOVA-Gulnor-3002612/
132,DILDOR,SHERMETOVA,Uzbekistan,Kurash,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SHERMETOVA-Dildor-3002613/
132,THANH HUYEN,TA,Vietnam,Rowing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/TA-Thanh-Huyen-3003222/
132,THI THAO,LUONG,Vietnam,Rowing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/LUONG-Thi-Thao-3003224/
132,THI LY,HO,Vietnam,Rowing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/HO-Thi-Ly-3003340/
132,THI THAO,PHAM,Vietnam,Rowing,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/PHAM-Thi-Thao-3003341/
132,Svetlana,Radzivil,Uzbekistan,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/RADZIVIL-Svetlana-3003359/
132,AYA,OHORI,Japan,Badminton,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/OHORI-Aya-3003587/
132,SAYAKA,SATO,Japan,Badminton,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SATO-Sayaka-3003591/
132,NOZOMI,OKUHARA,Japan,Badminton,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/OKUHARA-Nozomi-3003597/
132,KOHARU,YONEMOTO,Japan,Badminton,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/YONEMOTO-Koharu-3003613/
132,ARISA,HIGASHINO,Japan,Badminton,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/HIGASHINO-Arisa-3003619/
132,Thi Thu Thao,Bui,Vietnam,Athletics,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/BUI-Thi-Thu-Thao-3004331/
132,NISA,THANAATTAWUT,Thailand,Sepaktakraw,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/THANAATTAWUT-Nisa-3004402/
132,KAEWJAI,PUMSAWANGKAEW,Thailand,Sepaktakraw,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/PUMSAWANGKAEW-Kaewjai-3004406/
132,THIDARAT,SODA,Thailand,Sepaktakraw,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SODA-Thidarat-3004409/
132,THITIMA,MAHAKUSOL,Thailand,Sepaktakraw,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MAHAKUSOL-Thitima-3004410/
132,NIPAPORN,SALUPPHON,Thailand,Sepaktakraw,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SALUPPHON-Nipaporn-3004411/
132,SUPUTTRA,BEARTONG,Thailand,Sepaktakraw,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/BEARTONG-Suputtra-3004416/
132,HAO,CHANG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/CHANG-Hao-3004431/
132,YU,FENG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/FENG-Yu-3004435/
132,LI,GUO,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/GUO-Li-3004440/
132,XINPING,LIANG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/LIANG-Xinping-3004458/
132,WEN,HU,China,Bridge,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/HU-Wen-3004482/
132,LIUYI,WANG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/WANG-Liuyi-3004566/
132,QIANYI,WANG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/WANG-Qianyi-3004573/
132,YANNING,XIAO,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/XIAO-Yanning-3004581/
132,CHENGXIN,YIN,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/YIN-Chengxin-3004682/
132,TINGTING,JIANG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/JIANG-Tingting-3004824/
132,WENWEN,JIANG,China,Artistic Swimming,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/JIANG-Wenwen-3004830/
132,SUTIYA,JIEWCHALOEMMIT,Thailand,Shooting,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/JIEWCHALOEMMIT-Sutiya-3005170/
132,Xiaohan,Mei,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/MEI-Xiaohan-3005429/
132,Yineng,Shen,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/SHEN-Yineng-3005431/
132,Huan,Wang,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/WANG-Huan-3005432/
132,Danyi,Zhang,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ZHANG-Danyi-3005433/
132,Xiao,Chen,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/CHEN-Xiao-3005434/
132,Lin,Peng,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/PENG-Lin-3005438/
132,Dunhan,Xiong,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/XIONG-Dunhan-3005441/
132,Ying,Zhai,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/ZHAI-Ying-3005444/
132,Ning,Guo,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/GUO-Ning-3005447/
132,Sanfeng,Nong,China,Water Polo,1,0,0,1,https://en.asiangames2018.id/athletes/athlete/NONG-Sanfeng-3005448/
